#{"t_start": 1726061253.6615877, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
981.6,1000,49048.012913,0.0,0.0
978.2,1000,49051.718914,0.001,0.0023730422401518746
940.6,1000,49055.462229,0.023,0.04788470478847048
962.8,1000,49059.398165,0.012,0.024250743536948068
977.1,1000,49063.141613,0.005,0.011348161597821153
978.7,1000,49067.161649,0.005,0.011825922421948912
979.1,1000,49070.898061,0.005,0.012303149606299213
962.1,1000,49074.732882,0.012,0.02572653644592663
972.4,1000,49079.038998,0.005,0.009178743961352657
944.9,1000,49082.73153,0.021,0.04844290657439446
957.4,1000,49086.75462,0.015,0.031922611850060456
984.1,1000,49090.648342,0.001,0.0023986567522187576
978.7,1000,49094.238989,0.0,0.0
935.1,1000,49098.321244,0.027,0.049954379562043794
972.0,1000,49102.116224,0.005,0.01065891472868217
977.3,1000,49106.013443,0.0,0.0
979.8,1000,49110.11369,0.0,0.0
967.3,1000,49114.030504,0.009,0.021003500583430573
967.4,1000,49118.113033,0.01,0.020735155513666354
972.4,1000,49122.132033,0.003,0.007006071929005138
975.9,1000,49126.04827,0.002,0.004692632566870014
974.6,1000,49130.284105,0.004,0.009389671361502348
970.8,1000,49133.963973,0.006,0.013995801259622114
954.6,1000,49137.999655,0.015,0.030952380952380953
974.1,1000,49142.166365,0.006,0.013695503309746632
981.0,1000,49146.213874,0.0,0.0
959.9,1000,49150.167079,0.014,0.03193430656934307
966.8,1000,49153.815135,0.009,0.021266540642722116
980.0,1000,49157.906986,0.002,0.004868549172346641
978.8,1000,49161.896024,0.0,0.0
953.8,1000,49165.898825,0.013,0.02370229912301493
973.7,1000,49170.182459,0.006,0.012563983248022336
965.9,1000,49173.897268,0.012,0.02429728442115293
969.8,1000,49177.916367,0.009,0.017530678687703482
909.1,1000,49181.794468,0.039,0.08109965635738832
962.4,1000,49185.502049,0.009,0.01989389920424403
970.8,1000,49189.591059,0.009,0.0225
974.0,1000,49193.468354,0.004,0.009664170089393574
979.3,1000,49197.546483,0.001,0.002328288707799767
972.4,1000,49201.3149,0.005,0.011299435028248588
962.6,1000,49204.994661,0.01,0.021821631878557873
969.5,1000,49208.749221,0.008,0.016433059449009184
968.8,1000,49212.429654,0.007,0.01509790044821892
977.8,1000,49216.482706,0.003,0.002425418384671356
968.8,1000,49220.194516,0.007,0.013898873711957823
958.9,1000,49223.948496,0.012,0.026382781763480675
976.8,1000,49227.805608,0.004,0.007899628252788104
971.5,1000,49231.446497,0.005,0.011814744801512287
948.9,1000,49235.279872,0.019,0.04301562146253113
941.6,1000,49239.172058,0.024,0.04896969696969697
972.9,1000,49242.846609,0.005,0.011775788977861516
971.7,1000,49246.699789,0.006,0.014071294559099437
957.4,1000,49250.381712,0.014,0.03207276208712303
973.4,1000,49254.032291,0.004,0.009696969696969697
949.9,1000,49258.013617,0.016,0.035283194057567316
974.4,1000,49261.769605,0.005,0.011862396204033215
938.1,1000,49265.497076,0.025,0.05106190691369182
969.4,1000,49269.347087,0.006,0.014147606696533836
975.9,1000,49272.979798,0.002,0.004651162790697674
954.1,1000,49276.846823,0.014,0.0311587147030185
981.1,1000,49280.583751,0.002,0.004750593824228029
963.5,1000,49284.288692,0.009,0.01909196740395809
973.0,1000,49288.32093,0.007,0.013401559454191032
937.7,1000,49291.980058,0.024,0.046485260770975055
977.0,1000,49295.765121,0.005,0.011574074074074073
967.9,1000,49299.728188,0.008,0.018908059560387616
953.9,1000,49303.355261,0.016,0.03222877893781208
969.0,1000,49307.433077,0.007,0.015406836783822821
964.8,1000,49311.113767,0.01,0.023174971031286212
974.0,1000,49314.834118,0.004,0.009573958831977022
968.3,1000,49318.94921,0.009,0.021945866861741038
971.5,1000,49322.811596,0.006,0.011527377521613832
978.9,1000,49326.723883,0.003,0.007473841554559043
944.3,1000,49330.546838,0.021,0.04321561338289963
980.6,1000,49334.262647,0.002,0.005033979360684621
955.6,1000,49338.322206,0.013,0.024145785876993165
956.2,1000,49341.897824,0.015,0.029184756391702846
977.6,1000,49345.797558,0.002,0.0031963470319634705
964.0,1000,49349.788773,0.011,0.024051803885291396
936.9,1000,49353.663877,0.024,0.05390070921985816
966.8,1000,49357.732493,0.008,0.018979833926453145
980.5,1000,49361.489464,0.0,0.0
972.8,1000,49365.238941,0.004,0.009374267635340989
967.5,1000,49369.296095,0.009,0.02034358047016275
966.6,1000,49373.005437,0.008,0.01734239512538083
978.7,1000,49377.000769,0.001,0.0022983222247759134
