#{"t_start": 1720712696.5932832, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
932,1000,33713.159425,0.034,0.06995230524642289
984,1000,33715.546194,0.008,0.0162874251497006
948,1000,33717.930393,0.026,0.057492077863286556
978,1000,33720.339067,0.011,0.02456306093528578
962,1000,33722.698406,0.019,0.04312301407172038
992,1000,33725.172508,0.004,0.009835259404966806
996,1000,33727.59559,0.002,0.00476077124494168
996,1000,33730.047453,0.002,0.0032879286049788633
996,1000,33732.50163,0.002,0.004796163069544364
968,1000,33734.932312,0.016,0.03430079155672823
938,1000,33737.311069,0.031,0.06472052500565739
972,1000,33739.772353,0.014,0.03334921391138637
986,1000,33742.230813,0.007,0.014925373134328358
978,1000,33744.635605,0.011,0.021687883074021686
970,1000,33747.086196,0.015,0.030594621268196398
956,1000,33749.504984,0.022,0.042563143124415344
960,1000,33751.988906,0.02,0.048216007714561235
960,1000,33754.449821,0.02,0.04476143630103296
996,1000,33757.023226,0.002,0.004801920768307323
972,1000,33760.014395,0.014,0.029597282872392043
1000,1000,33763.65017,0.0,0.0
974,1000,33767.658836,0.013,0.02970059880239521
1000,1000,33771.732466,0.0,0.0
984,1000,33775.383831,0.008,0.01616353696220585
964,1000,33778.942987,0.018,0.03744441844137608
996,1000,33782.262661,0.002,0.004752851711026616
966,1000,33785.347523,0.017,0.03378218757382471
986,1000,33788.269358,0.007,0.015470147449842882
982,1000,33791.053855,0.009,0.020334059549745823
974,1000,33793.679276,0.013,0.028843917190044196
976,1000,33796.33965,0.012,0.027696793002915453
962,1000,33798.832995,0.019,0.04008106282368836
952,1000,33801.292672,0.024,0.04627006610009443
966,1000,33803.652433,0.017,0.03576372865712967
924,1000,33806.003796,0.038,0.07636448817053174
982,1000,33808.417214,0.009,0.019471488178025034
938,1000,33810.8081,0.031,0.06252949504483246
968,1000,33813.182386,0.016,0.03179579041648007
976,1000,33815.556452,0.012,0.02851033499643621
1000,1000,33817.976321,0.0,0.0
